,code,decileMarch20,decileMarch24,scoreMarch20,scoreMarch24,score_change,score_change_code
21489,E01001013,6,6,28.8607352,27.3082325,-5.379290192,4
16949,E01022302,5,4,25.5709673,24.19569902,-5.378241115,4
13290,E01020685,3,3,23.109141,21.86646962,-5.377401889,4
31536,E01028386,9,9,41.9002023,39.64714921,-5.377189039,4
18061,E01023135,5,5,26.3528373,24.93664134,-5.373979052,4
24613,E01000701,7,7,31.537845,29.84374285,-5.371648401,4
15358,E01002680,4,4,24.5243826,23.20720731,-5.37088053,4
4026,E01033668,1,1,16.1114303,15.24654072,-5.368173789,4
27441,E01004732,8,7,34.5124408,32.66047591,-5.366079146,4
11231,E01016399,3,3,21.7388226,20.57234006,-5.365895677,4
23868,E01011407,7,6,30.8233431,29.16947181,-5.365645383,4
23381,E01030843,6,6,30.3653025,28.73602576,-5.36558705,4
22920,E01033535,6,6,29.9656296,28.35803527,-5.364794094,4
15329,E01005938,4,4,24.5081047,23.19333937,-5.36461445,4
15476,E01007239,4,4,24.6015784,23.28184975,-5.36440641,4
10800,E01005679,3,3,21.4570176,20.30620222,-5.363351975,4
16208,E01009817,4,4,25.1022667,23.7561216,-5.362643595,4
17943,E01017470,5,5,26.274954,24.86692004,-5.358844633,4
5370,E01006435,1,1,17.4125584,16.47981834,-5.35670885,4
5145,E01009736,1,1,17.1932529,16.27234155,-5.356236887,4
7515,E01029106,2,2,19.1768693,18.1497177,-5.356200674,4
7145,E01029107,2,2,18.9136063,17.90074485,-5.355200024,4
26912,E01029607,7,7,33.8744393,32.06055428,-5.354730752,4
21402,E01005602,6,6,28.7958796,27.25413501,-5.354045836,4
25748,E01020966,7,7,32.616684,30.87041938,-5.353899939,4
406,E01027526,0,0,8.7444031,8.276275309,-5.353456207,4
25661,E01013089,7,7,32.5257356,30.78514261,-5.351433134,4
31836,E01011457,9,9,42.9025964,40.60689157,-5.350969456,4
17585,E01024556,5,5,26.0262734,24.63404892,-5.349303988,4
13360,E01004820,3,3,23.1543664,21.91578299,-5.349243366,4
28941,E01013440,8,8,36.5165793,34.56428247,-5.346329987,4
27722,E01028559,8,7,34.8335438,32.97123744,-5.346301759,4
33488,E01035376,9,9,55.363056,52.40379578,-5.345189441,4
33202,E01028384,9,9,50.4787855,47.78061349,-5.345160306,4
31802,E01005738,9,9,42.8143202,40.52587726,-5.345040935,4
26012,E01014674,7,7,32.900396,31.14187367,-5.344988333,4
19403,E01029773,5,5,27.3203771,25.86014959,-5.344829267,4
6437,E01021298,1,2,18.3340158,17.35414558,-5.344547687,4
16090,E01013895,4,4,25.0189962,23.6819125,-5.344273945,4
17389,E01013465,5,5,25.8867213,24.50405286,-5.341226601,4
14661,E01013750,4,4,24.0503263,22.76595828,-5.340335124,4
27905,E01014998,8,8,35.0809279,33.20809379,-5.33861053,4
15213,E01006499,4,4,24.4209653,23.11727186,-5.338418935,4
28908,E01006174,8,8,36.4703405,34.52348776,-5.33818087,4
15768,E01027722,4,4,24.8049402,23.48085036,-5.338008598,4
26629,E01016591,7,7,33.601872,31.80831664,-5.33766501,4
12353,E01001424,3,3,22.4867692,21.28651346,-5.337608646,4
2528,E01010797,0,0,14.3140748,13.55004815,-5.337590181,4
9366,E01028450,2,2,20.506128,19.41165811,-5.337282063,4
8979,E01031048,2,2,20.2361807,19.15625359,-5.336615275,4
1500,E01021320,0,0,12.5500743,11.88035411,-5.336384301,4
24549,E01016912,7,7,31.4753441,29.79583325,-5.335957072,4
1087,E01015756,0,0,11.5339206,10.91851596,-5.335606691,4
6786,E01032537,2,2,18.6324224,17.63846862,-5.334538705,4
5672,E01019481,1,1,17.6754903,16.7326251,-5.334308598,4
11886,E01002093,3,3,22.1799325,20.99688398,-5.333868899,4
10425,E01035255,3,3,21.2029356,20.07240032,-5.331975257,4
24316,E01001148,7,6,31.2386398,29.57302378,-5.331909549,4
28737,E01019418,8,8,36.2231322,34.292098,-5.330942091,4
953,E01011767,0,0,11.0869503,10.49599268,-5.33020896,4
16534,E01020294,4,4,25.3101744,23.96111109,-5.330122553,4
22718,E01010577,6,6,29.799988,28.21166369,-5.329949493,4
10672,E01009808,3,3,21.3772915,20.2379266,-5.329790712,4
17351,E01019776,5,5,25.8551887,24.47728282,-5.329320541,4
26038,E01013970,7,7,32.9246473,31.17009037,-5.329007518,4
11055,E01021276,3,3,21.6216052,20.46989053,-5.326684389,4
30764,E01006164,9,8,39.9848874,37.8556434,-5.325121909,4
5769,E01004402,1,1,17.7737067,16.82739549,-5.324219777,4
29471,E01018693,8,8,37.4029935,35.41231566,-5.322242024,4
28757,E01024983,8,8,36.2601866,34.33103525,-5.320301762,4
4546,E01034952,1,1,16.6461241,15.76050716,-5.32025913,4
22193,E01001096,6,6,29.3845752,27.82128433,-5.320107109,4
8479,E01015191,2,2,19.8831588,18.8254209,-5.31976789,4
13527,E01003692,4,4,23.2829826,22.04445194,-5.319467359,4
8843,E01020330,2,2,20.1446793,19.07327958,-5.318524599,4
14229,E01033220,4,4,23.745503,22.48260117,-5.318488417,4
33018,E01022850,9,9,48.7128545,46.12262539,-5.317342085,4
7734,E01005117,2,2,19.3333447,18.30535956,-5.317161384,4
15578,E01002060,4,4,24.6674176,23.35602575,-5.316291614,4
29176,E01033654,8,8,36.9005683,34.93900355,-5.315811761,4
6461,E01010134,1,2,18.3603384,17.38446244,-5.31513058,4
12893,E01001418,3,3,22.8550528,21.64053482,-5.314002094,4
5266,E01030186,1,1,17.3318397,16.41092802,-5.313409867,4
8505,E01010002,2,2,19.9025846,18.84514345,-5.313084547,4
2108,E01021185,0,0,13.6476714,12.92259047,-5.312854577,4
32376,E01003060,9,9,45.0025826,42.61177001,-5.312611973,4
4291,E01021322,1,1,16.4148631,15.54283247,-5.312445352,4
7835,E01020293,2,2,19.4152361,18.38427332,-5.310070773,4
28260,E01004381,8,8,35.5822249,33.6929582,-5.309580013,4
16965,E01028917,5,4,25.5790842,24.22099963,-5.309355725,4
29592,E01022081,8,8,37.6072191,35.61055878,-5.309247454,4
29684,E01028075,8,8,37.756962,35.7524386,-5.309016659,4
3222,E01009956,0,1,15.2079605,14.4007133,-5.308056934,4
1945,E01006212,0,0,13.3669122,12.65741253,-5.30788005,4
6397,E01001876,1,2,18.3075401,17.33583698,-5.307666191,4
26050,E01005632,7,7,32.9332508,31.18526895,-5.30765049,4
